ID,Prob1
0, 0.39324
1, 0.62300
2, 0.19074
3, 0.61341
4, 0.46993
5, 0.28646
6, 0.30934
7, 0.18485
8, 0.20764
9, 0.31854
10, 0.36619
11, 0.61854
12, 0.18937
13, 0.27794
14, 0.19742
15, 0.12558
16, 0.34974
17, 0.15601
18, 0.44889
19, 0.57882
20, 0.36625
21, 0.27384
22, 0.48733
23, 0.41370
24, 0.44186
25, 0.40389
26, 0.26930
27, 0.20320
28, 0.22546
29, 0.37910
30, 0.49747
31, 0.18576
32, 0.62535
33, 0.18549
34, 0.31871
35, 0.18666
36, 0.25280
37, 0.44397
38, 0.33235
39, 0.30147
40, 0.34300
41, 0.48959
42, 0.45857
43, 0.30627
44, 0.34383
45, 0.37823
46, 0.54942
47, 0.38253
48, 0.68385
49, 0.43576
50, 0.21331
51, 0.33772
52, 0.41737
53, 0.25949
54, 0.50958
55, 0.37177
56, 0.17369
57, 0.22603
58, 0.48289
59, 0.32505
60, 0.40036
61, 0.32838
62, 0.18853
63, 0.38838
64, 0.12230
65, 0.46830
66, 0.15609
67, 0.48374
68, 0.12255
69, 0.64981
70, 0.29978
71, 0.30046
72, 0.36886
73, 0.18332
74, 0.47894
75, 0.41350
76, 0.43424
77, 0.14236
78, 0.22245
79, 0.20694
80, 0.15681
81, 0.34571
82, 0.34676
83, 0.18587
84, 0.46966
85, 0.22941
86, 0.19636
87, 0.31388
88, 0.15405
89, 0.11084
90, 0.53206
91, 0.48628
92, 0.36278
93, 0.15432
94, 0.22899
95, 0.46912
96, 0.39924
97, 0.23656
98, 0.18470
99, 0.31185
100, 0.22508
101, 0.15561
102, 0.34970
103, 0.30186
104, 0.24247
105, 0.35592
106, 0.32612
107, 0.20821
108, 0.16997
109, 0.32103
110, 0.15107
111, 0.23255
112, 0.58844
113, 0.38616
114, 0.37166
115, 0.27292
116, 0.47914
117, 0.30752
118, 0.55526
119, 0.21091
120, 0.53119
121, 0.18726
122, 0.06846
123, 0.59910
124, 0.30555
125, 0.48452
126, 0.29504
127, 0.23745
128, 0.17497
129, 0.23936
130, 0.34841
131, 0.13134
132, 0.28699
133, 0.25776
134, 0.36064
135, 0.58262
136, 0.36050
137, 0.15804
138, 0.18873
139, 0.49687
140, 0.35650
141, 0.31821
142, 0.25107
143, 0.29088
144, 0.42113
145, 0.65261
146, 0.70097
147, 0.25951
148, 0.28977
149, 0.41556
150, 0.16192
151, 0.18807
152, 0.25821
153, 0.35494
154, 0.23969
155, 0.17173
156, 0.45989
157, 0.44787
158, 0.31907
159, 0.23110
160, 0.63881
161, 0.31612
162, 0.36472
163, 0.63891
164, 0.32261
165, 0.26506
166, 0.18007
167, 0.20889
168, 0.14150
169, 0.31729
170, 0.16552
171, 0.19583
172, 0.29973
173, 0.61718
174, 0.18909
175, 0.32686
176, 0.22964
177, 0.41562
