ID,Prob1
0, 0.37134
1, 0.74562
2, 0.17185
3, 0.69609
4, 0.47771
5, 0.27787
6, 0.26388
7, 0.11460
8, 0.20601
9, 0.26624
10, 0.33798
11, 0.68343
12, 0.14187
13, 0.24494
14, 0.14870
15, 0.08763
16, 0.30996
17, 0.09872
18, 0.46976
19, 0.59425
20, 0.41406
21, 0.25218
22, 0.53157
23, 0.42949
24, 0.46308
25, 0.39876
26, 0.13133
27, 0.18930
28, 0.21696
29, 0.39855
30, 0.50477
31, 0.15089
32, 0.68899
33, 0.16799
34, 0.33001
35, 0.15680
36, 0.26223
37, 0.45637
38, 0.34460
39, 0.30787
40, 0.38851
41, 0.50789
42, 0.42431
43, 0.20500
44, 0.34518
45, 0.41234
46, 0.59650
47, 0.37436
48, 0.75953
49, 0.40544
50, 0.11486
51, 0.38112
52, 0.41463
53, 0.23660
54, 0.55672
55, 0.41345
56, 0.13747
57, 0.21775
58, 0.50285
59, 0.26638
60, 0.39031
61, 0.30605
62, 0.17675
63, 0.38654
64, 0.08653
65, 0.50594
66, 0.12083
67, 0.51405
68, 0.07639
69, 0.72105
70, 0.32801
71, 0.26895
72, 0.34172
73, 0.12412
74, 0.47333
75, 0.40837
76, 0.44726
77, 0.09362
78, 0.21624
79, 0.19452
80, 0.12085
81, 0.31182
82, 0.32177
83, 0.13154
84, 0.49935
85, 0.20249
86, 0.15871
87, 0.35575
88, 0.10049
89, 0.06692
90, 0.52665
91, 0.52511
92, 0.35021
93, 0.13136
94, 0.16139
95, 0.47708
96, 0.41474
97, 0.20801
98, 0.12139
99, 0.33091
100, 0.20359
101, 0.10517
102, 0.36789
103, 0.28542
104, 0.21277
105, 0.32360
106, 0.31338
107, 0.15081
108, 0.12827
109, 0.32625
110, 0.10931
111, 0.16688
112, 0.64629
113, 0.39294
114, 0.38114
115, 0.21781
116, 0.42467
117, 0.28284
118, 0.64418
119, 0.17909
120, 0.58548
121, 0.12498
122, 0.07065
123, 0.68656
124, 0.30453
125, 0.47170
126, 0.25336
127, 0.17075
128, 0.14628
129, 0.22942
130, 0.33897
131, 0.09570
132, 0.29259
133, 0.18616
134, 0.35271
135, 0.65398
136, 0.37451
137, 0.10858
138, 0.18304
139, 0.53893
140, 0.34791
141, 0.27281
142, 0.24931
143, 0.24655
144, 0.49440
145, 0.73897
146, 0.64163
147, 0.24813
148, 0.28599
149, 0.45379
150, 0.12451
151, 0.13661
152, 0.25581
153, 0.34322
154, 0.19737
155, 0.11024
156, 0.48366
157, 0.47283
158, 0.28851
159, 0.20386
160, 0.69614
161, 0.31238
162, 0.39742
163, 0.74575
164, 0.30846
165, 0.24491
166, 0.15691
167, 0.18326
168, 0.09941
169, 0.32801
170, 0.14704
171, 0.17898
172, 0.32144
173, 0.65686
174, 0.16953
175, 0.33793
176, 0.11680
177, 0.46918
178, 0.57736
179, 0.20546
180, 0.24735
181, 0.32802
182, 0.14086
183, 0.72848
184, 0.24238
185, 0.30129
186, 0.35047
187, 0.29630
188, 0.16506
189, 0.26309
190, 0.16554
191, 0.09011
192, 0.26056
193, 0.25184
194, 0.14582
195, 0.14161
196, 0.11000
197, 0.13715
198, 0.26345
199, 0.18581
200, 0.24709
201, 0.14474
202, 0.16467
203, 0.22193
204, 0.13709
205, 0.69517
206, 0.20876
207, 0.10150
208, 0.18548
209, 0.10013
210, 0.18301
211, 0.23696
212, 0.40366
213, 0.30495
214, 0.30848
215, 0.40490
216, 0.29547
217, 0.25469
218, 0.29505
219, 0.36710
220, 0.25642
221, 0.44758
222, 0.26746
223, 0.33041
224, 0.09928
225, 0.29599
226, 0.23023
227, 0.13113
228, 0.47339
229, 0.44072
230, 0.23359
231, 0.21398
232, 0.22196
233, 0.64541
234, 0.29464
235, 0.23564
236, 0.20696
237, 0.22745
238, 0.56604
239, 0.45966
240, 0.29074
241, 0.18386
242, 0.57434
243, 0.40065
244, 0.47743
245, 0.23986
246, 0.15915
247, 0.29103
248, 0.38765
249, 0.52014
250, 0.27367
251, 0.22779
252, 0.39595
253, 0.30741
254, 0.67907
255, 0.17745
256, 0.10170
257, 0.08984
258, 0.44235
259, 0.49778
260, 0.64149
261, 0.20165
262, 0.15414
263, 0.12218
264, 0.23297
265, 0.64210
266, 0.40146
267, 0.19604
268, 0.20923
269, 0.33244
270, 0.44258
271, 0.21879
272, 0.19092
273, 0.31493
274, 0.23367
275, 0.42876
276, 0.27952
277, 0.47351
278, 0.28300
279, 0.17670
280, 0.38279
281, 0.52479
282, 0.32496
283, 0.26837
284, 0.65471
285, 0.44920
286, 0.45824
287, 0.24102
288, 0.42164
289, 0.24589
290, 0.27729
291, 0.14784
292, 0.54757
293, 0.25920
294, 0.25348
295, 0.39101
296, 0.27910
297, 0.13233
298, 0.63027
299, 0.20260
300, 0.35333
301, 0.17676
302, 0.40863
303, 0.39286
304, 0.33348
305, 0.14090
306, 0.33193
307, 0.66669
308, 0.19506
309, 0.54215
310, 0.58319
311, 0.27964
312, 0.13928
313, 0.13454
314, 0.62949
315, 0.38593
316, 0.26475
317, 0.28281
318, 0.11294
319, 0.61686
320, 0.59428
321, 0.57497
322, 0.17895
323, 0.64242
324, 0.18209
325, 0.33917
326, 0.20864
327, 0.20682
328, 0.17136
329, 0.14837
330, 0.20415
331, 0.09764
332, 0.20090
333, 0.41829
334, 0.49342
335, 0.75510
336, 0.29942
337, 0.69860
338, 0.34640
339, 0.35279
340, 0.66209
341, 0.12861
342, 0.64292
343, 0.18527
344, 0.55205
345, 0.15534
346, 0.19192
347, 0.28680
348, 0.52753
349, 0.14678
350, 0.47152
351, 0.26093
352, 0.28450
353, 0.19092
354, 0.22625
355, 0.20460
356, 0.31692
357, 0.47060
358, 0.17203
359, 0.09931
360, 0.26602
361, 0.43335
362, 0.36029
363, 0.14268
364, 0.35312
365, 0.23673
366, 0.33963
367, 0.30038
368, 0.36069
369, 0.26059
370, 0.22320
371, 0.42803
372, 0.60607
373, 0.18147
374, 0.28958
375, 0.40554
376, 0.48691
377, 0.27653
378, 0.12216
379, 0.14168
380, 0.35349
381, 0.16124
382, 0.20862
383, 0.18982
384, 0.28185
385, 0.24007
386, 0.26924
387, 0.23501
388, 0.22850
389, 0.27388
390, 0.13985
391, 0.57305
392, 0.69528
393, 0.62745
394, 0.41992
395, 0.27676
396, 0.25136
397, 0.39454
398, 0.14050
399, 0.09660
400, 0.42620
401, 0.35966
402, 0.35859
403, 0.12903
404, 0.30983
405, 0.31056
406, 0.22464
407, 0.38984
408, 0.30843
409, 0.37350
410, 0.58873
411, 0.20202
412, 0.09740
413, 0.56478
414, 0.20386
415, 0.20977
416, 0.32309
417, 0.68621
418, 0.48978
419, 0.31521
420, 0.23780
421, 0.17852
422, 0.13685
423, 0.22461
424, 0.18599
425, 0.31163
426, 0.43851
427, 0.23477
428, 0.12368
429, 0.13673
430, 0.23438
431, 0.56692
432, 0.43947
433, 0.12206
434, 0.49844
435, 0.30497
436, 0.56401
437, 0.11821
438, 0.19205
439, 0.12868
440, 0.17585
441, 0.39779
442, 0.27101
443, 0.20759
444, 0.10824
445, 0.12877
446, 0.23049
447, 0.24683
448, 0.29106
449, 0.17186
450, 0.63717
451, 0.30994
452, 0.45534
453, 0.63381
454, 0.08823
455, 0.27191
456, 0.15968
457, 0.14494
458, 0.25407
459, 0.22754
460, 0.55195
461, 0.60958
462, 0.06570
463, 0.23879
464, 0.72918
465, 0.24299
466, 0.44489
467, 0.37770
468, 0.12763
469, 0.65448
470, 0.11348
471, 0.18837
472, 0.34866
473, 0.14550
474, 0.26116
475, 0.26009
476, 0.16657
477, 0.28953
478, 0.10996
479, 0.58143
480, 0.19402
481, 0.09173
482, 0.48271
483, 0.12194
484, 0.22419
485, 0.24876
486, 0.30838
487, 0.49835
488, 0.28457
489, 0.32658
490, 0.35067
491, 0.21959
492, 0.09097
493, 0.15016
494, 0.23916
495, 0.66118
496, 0.28153
497, 0.06916
498, 0.22621
499, 0.24144
500, 0.21558
501, 0.15609
502, 0.38019
503, 0.09732
504, 0.24161
505, 0.29016
506, 0.12592
507, 0.40341
508, 0.14988
509, 0.30766
510, 0.31577
511, 0.19386
512, 0.34374
513, 0.27844
514, 0.23722
515, 0.60488
516, 0.45475
517, 0.23741
518, 0.47146
519, 0.55987
520, 0.07485
521, 0.40683
522, 0.23581
523, 0.29312
524, 0.28992
525, 0.30525
526, 0.14898
527, 0.45893
528, 0.25674
529, 0.75623
530, 0.22626
531, 0.26779
532, 0.33171
533, 0.24492
534, 0.29345
535, 0.19174
536, 0.16834
537, 0.26269
538, 0.19268
539, 0.40470
540, 0.23143
541, 0.19502
542, 0.24354
